time,AccX1,AccY1,AccZ1,GyroX1,GyroY1,GyroZ1,AccX2,AccY2,AccZ2,GyroX2,GyroY2,GyroZ2,Class
1,488,-16716,-1968,-457,-89,48,-3748,1708,14268,-284,66,-67,3
6,544,-16736,-1968,-479,-27,41,-3792,1664,14172,-257,73,-79,3
12,616,-16720,-2012,-493,-25,1,-3836,1736,14116,-229,51,-67,3
17,580,-16588,-2092,-495,-11,-1,-3688,1768,14236,-195,23,-74,3
22,496,-16564,-2032,-493,24,-25,-3788,1760,14272,-172,81,-51,3
28,588,-16604,-2000,-557,1,-39,-3668,1668,14080,-157,59,-52,3
33,688,-16680,-2048,-529,-4,-42,-3740,1864,14076,-140,60,-46,3
39,676,-16680,-2136,-510,-51,-62,-3748,1808,14188,-149,89,-56,3
45,548,-16636,-2032,-547,-97,-82,-3680,1764,14188,-161,103,-38,3
50,472,-16664,-2092,-587,-127,-130,-3568,1680,14384,-149,88,-66,3
56,504,-16752,-2184,-634,-136,-154,-3664,1704,14284,-82,90,-35,3
61,472,-16800,-2068,-614,-134,-142,-3796,1816,14352,-48,115,-35,3
67,520,-16892,-2024,-597,-126,-165,-3752,1792,14128,-49,123,-10,3
72,512,-16836,-1956,-609,-128,-237,-3832,1776,13964,10,122,-8,3
78,408,-16784,-2108,-609,-116,-258,-3692,1472,14140,34,102,1,3
83,292,-16640,-2132,-595,-57,-277,-3580,1616,14244,119,109,-5,3
89,248,-16600,-2140,-653,-30,-291,-3628,1592,14320,257,145,34,3
95,432,-16740,-2116,-744,-58,-316,-3820,1780,14028,338,186,76,3
100,484,-16676,-1880,-700,-102,-413,-3964,1604,14272,367,195,71,3
106,160,-16556,-1804,-759,-83,-516,-3844,1372,14180,470,168,96,3
111,-196,-16564,-1760,-803,10,-577,-3580,992,14136,644,154,135,3
117,-472,-16416,-1740,-889,120,-650,-3544,704,14284,802,156,180,3
122,-244,-16772,-1928,-1249,182,-648,-3548,708,13260,1279,-176,216,3
127,100,-16520,-1976,-1065,409,-676,-4080,976,14344,889,148,181,3
134,8,-17024,-1920,-1148,447,-662,-3496,1088,14168,1068,115,223,3
139,288,-16892,-2192,-1125,450,-612,-3520,1468,13980,1070,33,196,3
145,600,-16828,-2364,-1116,639,-503,-3560,1788,14264,1193,126,190,3
150,792,-16612,-2388,-1085,853,-408,-3668,2224,14048,1363,139,161,3
156,984,-16528,-2508,-1049,996,-337,-3684,2376,14244,1360,87,199,3
161,1096,-16576,-2500,-1112,1156,-293,-3616,2172,13856,1522,37,113,3
166,924,-16288,-2524,-1050,1260,-219,-3636,2024,14168,1386,10,14,3
173,1028,-16428,-2344,-1083,1278,-156,-3728,1996,14216,1211,50,-39,3
178,1096,-16500,-2380,-1041,1405,1,-3804,2148,14100,1201,54,-61,3
184,1212,-16796,-2148,-1092,1405,115,-3988,2380,14236,1145,-8,-57,3
189,1336,-17008,-2124,-1148,1379,223,-3996,2504,14200,1090,-90,-92,3
195,1260,-16976,-2168,-1061,1429,273,-3852,2372,14624,958,-67,-139,3
200,1020,-17168,-2212,-1130,1491,394,-3780,2688,14224,1240,-255,-122,3
205,1112,-17020,-2236,-1108,1512,512,-3872,2536,14332,1210,-205,-96,3
211,1044,-16736,-2208,-984,1562,598,-4068,2496,14468,1186,-223,-93,3
217,1044,-16688,-2392,-1027,1556,648,-3760,2316,14236,1224,-259,-79,3
223,1032,-16628,-2196,-1052,1532,725,-3808,2344,14156,1174,-312,-72,3
228,1052,-16444,-2360,-998,1462,725,-3880,2312,14204,1033,-331,-119,3
234,1184,-16444,-2332,-988,1314,714,-3816,2212,14144,790,-363,-126,3
239,1264,-16672,-2344,-1073,1015,659,-3876,2456,14300,520,-402,-140,3
244,1324,-16624,-2240,-1071,765,651,-3892,2288,14116,241,-398,-151,3
255,1048,-16648,-2252,-1151,348,681,-3892,2372,14272,-123,-506,-148,3
262,1068,-16568,-2100,-1087,276,711,-3916,2436,14200,-257,-543,-133,3
267,1216,-16644,-2108,-1154,138,690,-3916,2588,14076,-370,-521,-117,3
273,1232,-16476,-2248,-1159,42,728,-3904,2492,14256,-516,-546,-108,3
278,1200,-16380,-2324,-1154,-16,758,-3960,2508,14036,-581,-618,-105,3
283,1024,-16332,-2300,-1082,49,756,-3824,2532,14380,-679,-582,-120,3
289,880,-16420,-2424,-1061,89,831,-3672,2336,14120,-660,-607,-112,3
294,872,-16588,-2472,-1060,93,885,-3668,2192,14276,-737,-597,-128,3
301,1232,-16644,-2428,-1096,-39,952,-3732,2404,14248,-851,-569,-164,3
306,1248,-16836,-2536,-1097,-184,979,-3876,2624,14308,-1086,-647,-158,3
312,1496,-16836,-2432,-1141,-305,1042,-3844,2628,14208,-1286,-714,-203,3
317,1388,-16736,-2356,-1119,-427,1137,-3960,2464,14196,-1514,-706,-249,3
322,1124,-16728,-2472,-1105,-499,1243,-3724,2460,14292,-1641,-775,-268,3
333,728,-16704,-2504,-1184,-376,1415,-3584,2084,14380,-1644,-811,-342,3
339,744,-16572,-2388,-1068,-281,1520,-3740,2172,14380,-1722,-812,-373,3
345,616,-16788,-2296,-1103,-174,1619,-3612,2140,14112,-1571,-869,-365,3
351,536,-16780,-2228,-1025,43,1730,-3712,2052,14412,-1520,-846,-388,3
356,168,-16768,-2388,-955,217,1781,-3608,1912,14300,-1416,-785,-364,3
361,400,-16788,-2256,-953,363,1903,-3680,1872,14396,-1297,-804,-380,3
367,452,-16652,-2428,-900,406,2002,-3708,1976,14544,-1318,-798,-376,3
372,484,-16728,-2484,-948,486,2052,-3536,1872,14164,-1227,-794,-369,3
378,500,-16632,-2428,-847,540,2118,-3580,1992,14496,-1313,-796,-414,3
