time,AccX1,AccY1,AccZ1,GyroX1,GyroY1,GyroZ1,AccX2,AccY2,AccZ2,GyroX2,GyroY2,GyroZ2,Class
1,672,-16728,-1652,-499,-3746,-259,-3720,1824,14212,-2450,299,606,1
7,608,-16764,-1824,-405,-3930,-270,-3752,2024,14368,-2394,370,639,1
13,668,-16720,-1896,-357,-4083,-297,-3672,2016,14120,-2431,449,676,1
19,748,-16744,-1860,-314,-4282,-309,-3800,2060,14284,-2621,490,692,1
25,608,-16760,-1808,-195,-4523,-357,-3716,1864,14368,-2872,496,709,1
30,660,-16808,-1724,-224,-4740,-402,-3744,1408,14400,-2685,563,752,1
36,152,-16584,-1284,689,-4643,-484,-4056,1656,17804,-4237,658,641,1
41,-68,-17132,-1484,120,-4899,-432,-2880,796,13924,-3304,691,681,1
46,-8,-16888,-1364,81,-4993,-407,-3760,1024,14964,-3844,625,559,1
52,96,-16824,-1268,114,-4901,-377,-3616,604,14476,-3458,600,528,1
58,-68,-16888,-1504,77,-4793,-324,-3836,828,14372,-3608,683,454,1
64,-48,-16884,-1292,310,-4507,-274,-3668,1016,14632,-3473,783,480,1
69,-36,-16960,-1400,220,-4297,-229,-3644,984,14264,-2944,759,473,1
75,288,-16912,-1376,149,-4081,-157,-3864,1020,14268,-2698,660,431,1
80,312,-16948,-1212,178,-3737,-123,-3696,1032,14432,-2660,688,331,1
85,372,-16848,-1168,112,-3441,-39,-3892,1180,14300,-2691,658,339,1
91,380,-16796,-1260,161,-3120,1,-3820,1092,14396,-2282,600,348,1
96,408,-16796,-1228,108,-2816,12,-4016,988,14136,-2172,502,329,1
103,384,-16736,-1120,-62,-2500,86,-3952,1076,14276,-1922,426,298,1
108,436,-16700,-1012,-96,-2159,147,-4048,1056,14356,-1660,337,284,1
114,272,-16760,-1100,-117,-1839,162,-4148,952,14100,-1419,305,245,1
119,364,-16784,-1052,-201,-1523,190,-3964,1024,14108,-1157,268,207,1
124,508,-16744,-1048,-264,-1259,228,-4012,1000,14032,-955,162,183,1
130,304,-16592,-1024,-288,-966,236,-3932,948,14124,-781,108,132,1
135,348,-16644,-864,-353,-706,278,-4064,868,14052,-630,16,99,1
141,464,-16680,-1040,-388,-487,256,-3968,968,14188,-480,-4,61,1
147,308,-16680,-1132,-404,-276,282,-3972,936,14104,-368,-67,39,1
152,404,-16736,-1036,-417,-94,247,-3924,824,13936,-269,-130,4,1
158,340,-16776,-944,-576,49,259,-3940,936,14320,-89,-145,12,1
163,304,-16804,-1104,-655,155,254,-3920,1052,14088,15,-162,-9,1
169,444,-16832,-1080,-732,239,233,-3960,908,14200,94,-239,-41,1
174,324,-16684,-1016,-761,299,205,-4000,976,14228,135,-248,-58,1
180,288,-16840,-1104,-839,328,178,-3972,988,14336,173,-279,-46,1
186,404,-16704,-1068,-900,388,151,-3976,956,14236,197,-337,-37,1
191,436,-16856,-1288,-935,409,145,-3880,864,14356,246,-355,-53,1
197,292,-16880,-1108,-985,410,99,-3768,912,14264,252,-373,-56,1
202,284,-17032,-1208,-1011,384,75,-3908,976,14372,260,-352,-64,1
208,368,-16984,-1264,-1021,369,39,-3904,904,14468,260,-354,-27,1
213,332,-16932,-1056,-975,379,21,-3884,940,14336,251,-340,-56,1
219,376,-16768,-1196,-1007,346,-7,-3928,1020,14288,304,-342,-27,1
224,404,-16796,-1448,-1029,329,-18,-3944,1056,14312,325,-364,-16,1
230,344,-16704,-1384,-1103,340,-52,-3928,1120,14268,327,-354,-25,1
236,416,-16644,-1220,-1110,327,-103,-3908,1048,14244,340,-358,-18,1
241,308,-16840,-1432,-1138,320,-113,-3900,872,14216,331,-356,-18,1
247,248,-16816,-1348,-1104,365,-141,-3808,900,14124,372,-363,-29,1
252,200,-16780,-1352,-1132,381,-178,-3760,976,14060,384,-333,-43,1
258,340,-16720,-1372,-1099,388,-187,-3852,928,14388,376,-300,-48,1
263,172,-16760,-1424,-1137,426,-239,-3828,916,14364,415,-314,-57,1
268,236,-16756,-1308,-1162,496,-214,-3868,728,14448,464,-304,-78,1
275,20,-16692,-1416,-1127,619,-226,-3764,916,14572,580,-275,-72,1
280,0,-16824,-1620,-1092,719,-247,-3724,860,14320,599,-223,-58,1
286,128,-17816,-2364,-2397,562,-119,-3676,-68,9620,1930,-2145,-64,1
291,484,-16484,-1648,-893,833,-204,-4156,1108,14096,623,-108,-112,1
297,48,-16692,-1652,-786,1163,-161,-3528,1048,14376,1000,-7,-64,1
302,196,-16536,-1584,-770,1250,-195,-3796,1052,14124,1096,-54,-85,1
307,396,-16596,-1552,-756,1317,-178,-3740,1232,14256,1076,52,-107,1
314,308,-16560,-1736,-709,1402,-181,-3720,1236,14148,1094,71,-106,1
